TEAM,TEAM #,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Washington Wizards,1,20,7,13,0.35,48,118.9,44.9,94.2,47.7,12.8,34.4,37.3,16.3,20.2,80.7,10,31.9,41.8,28.3,14.5,7.5,3.7,5.8,22.3,20.3,-3.5
Utah Jazz,2,22,12,10,0.545,48,105.7,37.5,83.6,44.9,11.7,31.1,37.7,19,24.7,76.7,8.2,37.1,45.3,21,16.3,6,4.4,5.6,21.5,22.1,-0.2
Toronto Raptors,3,21,15,6,0.714,48.5,112.9,40.2,88,45.7,14.2,36.6,38.9,18.2,22.6,80.6,9.2,36.9,46.1,25.8,15.3,8.2,5.1,5.9,21.4,20.8,7.2
San Antonio Spurs,4,22,8,14,0.364,48.5,112,42.3,90.6,46.6,9.1,25.9,35.3,18.3,23.4,78.2,10.5,35.2,45.8,24.5,13.6,6.4,5.7,4.9,19.2,20.8,-4
Sacramento Kings,5,20,8,12,0.4,48.3,104.9,38.8,86.7,44.8,12.2,34.7,35.1,15.2,19.5,77.7,10.1,31.8,41.9,22.9,15.8,7.7,4.9,4.8,22.3,19.2,-3.9
Portland Trail Blazers,6,22,9,13,0.409,48.2,113.5,41.7,91.8,45.5,12.3,33.4,36.9,17.7,21.7,81.4,10.1,36.5,46.6,20.3,13.7,5.9,6.2,5.5,23.3,20.1,-1.4
Phoenix Suns,7,21,10,11,0.476,48.5,115.6,41.3,89.2,46.3,13,35.6,36.5,20,24.7,81.1,9,33,42,28.2,14.2,8.1,4,5.7,23.1,24.4,1.4
Philadelphia 76ers,8,22,15,7,0.682,48.2,108.8,40.4,86.1,46.9,10.7,29.5,36.2,17.3,23.1,74.8,9.6,36.6,46.2,26,16.7,8.8,5.7,4.1,22.9,21.8,4.4
Orlando Magic,9,21,10,11,0.476,48,103.5,38.1,87.8,43.5,10.1,30.8,33,17.1,22,77.9,10.8,35,45.8,22.5,13.8,8.1,6.6,4.1,18.7,19.7,0.1
Oklahoma City Thunder,10,20,8,12,0.4,48.3,107.1,38.9,84.1,46.2,10.7,30.1,35.4,18.8,23.8,78.8,7.8,34.6,42.4,22.1,14.6,7.3,4.7,4.8,20,22.6,-1.2
