TEAM,TEAM #,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Washington Wizards,1,82,42.5,39.5,0.518333333,48.53333333,105.5166667,39.96666667,85.95,46.51666667,8.833333333,24.4,36.43333333,16.7,22.1,75.45,10.06666667,32.8,42.85,24.53333333,14.51666667,8.116666667,4.35,4.4,20.88333333,20.03333333,0.166666667
Utah Jazz,2,82,42,40,0.512166667,48.26666667,100.7166667,37.2,81.58333333,45.6,9.166666667,25.73333333,35.6,17.2,23.06666667,74.56666667,10.35,33.16666667,43.55,21.28333333,14.7,7.616666667,5.283333333,4.55,19.95,20.5,1.383333333
Toronto Raptors,3,82,53.5,28.5,0.6525,48.4,106.8333333,38.96666667,84.56666667,46.01666667,9.866666667,27.16666667,36.35,19.06666667,24.15,79,10.38333333,32.91666667,43.31666667,21.46666667,13.36666667,7.75,5.066666667,4.816666667,21.16666667,20.85,4.816666667
San Antonio Spurs,4,82,56.66666667,25.33333333,0.691,48.28333333,105.3,40.06666667,84.58333333,47.36666667,8.566666667,22.55,37.9,16.61666667,20.95,79.26666667,9.683333333,34.26666667,43.93333333,24.2,13.35,7.583333333,5.433333333,4.15,18.06666667,19.6,6.05
Sacramento Kings,5,82,26.33333333,50.66666667,0.382,48.31666667,104.0333333,38.91666667,85.15,45.68333333,8.15,22.45,36.03333333,18.06666667,24.13333333,74.7,10.46666667,32.91666667,43.38333333,22.2,14.9,7.75,4.15,5.333333333,20.88333333,21.3,-3.516666667
Portland Trail Blazers,6,82,48.66666667,33.33333333,0.593666667,48.38333333,107.1333333,39.58333333,87.1,45.46666667,10.23333333,27.91666667,36.73333333,17.7,22.3,79.4,11.15,34.66666667,45.83333333,21.66666667,13.81666667,6.583333333,4.833333333,4.666666667,20.03333333,19.75,2.55
Phoenix Suns,7,82,29,53,0.353666667,48.3,104.6,38.86666667,86.31666667,45.01666667,8.866666667,25.95,34.26666667,18.01666667,23.66666667,76.08333333,10.83333333,32.58333333,43.41666667,20.8,15.71666667,8.116666667,4.6,4.983333333,22.71666667,21.16666667,-4.883333333
Philadelphia 76ers,8,82,29.66666667,52.33333333,0.361833333,48.31666667,102.7166667,37.96666667,85.65,44.31666667,9.433333333,27.68333333,33.98333333,17.28333333,23.68333333,72.9,10.76666667,33.38333333,44.13333333,23.6,16.51666667,8.55,5.233333333,5.433333333,21.86666667,20.35,-4.7
Orlando Magic,9,82,29.83333333,52.16666667,0.363833333,48.33333333,101.0166667,38.56666667,85.71666667,44.98333333,8.616666667,24.78333333,34.75,15.25,20.2,75.58333333,9.766666667,33.11666667,42.88333333,22.71666667,14.15,7.516666667,4.716666667,5.116666667,19.88333333,18.48333333,-3.9
Oklahoma City Thunder,10,82,50.5,31.5,0.616,48.36666667,108.2333333,40.15,87.56666667,45.88333333,9.1,26.26666667,34.63333333,18.8,24.96666667,75.26666667,12.33333333,34.45,46.76666667,21.85,14.81666667,8.216666667,5.45,4.65,21.51666667,20.91666667,3.9
